,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_c0,colorful,bright_avg,bright_sd,bright_max,bright_min,saturation_avg,saturation_sd,saturation_max,bsaturation_min,tex_cobtrast,tex_energy,tex_homogeneity,tex_correlation ,tex_dissimilarity,tex_ASM
0,0,0,0,https://scontent.xx.fbcdn.net/v/t45.1600-4/11409981_6028672808456_218090808_n.png?_nc_cat=0&oh=35a14f15df19471eeff28e6f565a722b&oe=5B884D18,62.2811868356,62.0040127389,49.0401820798,255,0,183.405516189,45.1529404514,255,0,205.369206292,0.322334011669,0.856568648392,0.957333200254,2.49868255393,0.103899215079
1,1,1,1,https://scontent.xx.fbcdn.net/v/t45.1600-4/12061597_6035339371286_931946006_n.png?_nc_cat=0&oh=b76eb28de0ee6815a463232f7b3440f1&oe=5B4E950A,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2,2,2,2,https://scontent.xx.fbcdn.net/v/t45.1600-4/12481016_6047246277396_839648136_n.png?_nc_cat=0&oh=d077b4f93f328e5037132764d1940921&oe=5B8ADC02,36.1703592041,223.275324296,65.120563172,255,0,33.6522567783,64.7586583819,255,0,356.846162339,0.654430735003,0.784111004029,0.957952648031,5.51700579829,0.428279586917
3,3,3,3,https://scontent.xx.fbcdn.net/v/t45.1600-4/12447828_6055131890196_370477192_n.png?_nc_cat=0&oh=7de49ff9c86f9e025c2b15c4dd319b53&oe=5B8BBA2A,75.3157272647,191.067390261,74.4730645698,255,2,90.2408333333,91.323130372,255,0,148.266985892,0.215665887392,0.608818668435,0.986634066337,3.86951738578,0.0465117749844
4,4,4,4,https://scontent.xx.fbcdn.net/v/t45.1600-4/16632607_6059078265615_2212758792892841984_n.png?_nc_cat=0&oh=5428ba418583a3ef9bf6d7a17b47832d&oe=5B90DFC8,63.1781569047,188.90103483,76.2898094595,255,25,64.9033101426,73.2017001973,246,0,185.759435049,0.624882378281,0.941862559084,0.984039142542,2.22671553834,0.390477986686
5,5,5,5,https://scontent.xx.fbcdn.net/v/t45.1600-4/19897267_6069688380299_7561548717862420480_n.png?_nc_cat=0&oh=fcab4e128369886f24330ca4b5fb7da4&oe=5B55341D,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
6,6,6,6,https://scontent.xx.fbcdn.net/v/t45.1600-4/23150276_6075497634576_3830270612169818112_n.png?_nc_cat=0&oh=bd8c921b0566fe79a3410d83f655a1c4&oe=5B989207,50.7148588095,136.43375,86.9606634312,255,0,84.535781893,68.3636964223,255,0,81.2050046339,0.0486513769499,0.545037665866,0.994629289122,3.05187073079,0.00236695647912
7,7,7,7,https://scontent.xx.fbcdn.net/v/t45.1600-4/21561139_6076602995632_7583671767986601984_n.png?_nc_cat=0&oh=6a21d3654662f53f8850bed62f38d628&oe=5B865296,56.2038681195,205.8036319,72.0208161871,255,2,60.4708625265,74.5610552745,255,0,276.169773909,0.496285864686,0.835983112808,0.973394783754,3.57371721658,0.246299659487
8,8,8,8,https://scontent.xx.fbcdn.net/v/t45.1600-4/22886667_6078021583973_7718586852646584320_n.png?_nc_cat=0&oh=4f9306a9da18e0d7b5def39d43f4043d&oe=5B958785,55.7931351092,64.9204253759,70.1080587706,255,0,117.708253117,73.0329455868,255,0,437.203704724,0.0672951321821,0.380410971344,0.955526158939,10.0398724852,0.00452863481541
9,9,9,9,https://scontent.xx.fbcdn.net/v/t45.1600-4/17508582_6078323261196_1668597607699578880_n.png?_nc_cat=0&oh=6313a16f7ef9524326f6cec7a835a7db&oe=5B85EB91,55.0952139875,96.1376433121,74.724339006,255,0,93.694227707,81.5411244056,255,0,646.169011597,0.0463575037913,0.293699837878,0.942135265333,13.5490097905,0.00214901815776
10,10,10,10,https://scontent.xx.fbcdn.net/v/t45.1600-4/27953915_6078974920815_1163031681527971840_n.png?_nc_cat=0&oh=5aef4a8a7bc3515ffb2eda113756610e&oe=5B59C06D,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
11,11,11,11,https://scontent.xx.fbcdn.net/v/t45.1600-4/26757334_6080069436776_3087636690420891648_n.png?_nc_cat=0&oh=4c75ea7f29a36777e8ab954b1be07c90&oe=5B562F00,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
12,12,12,12,https://scontent.xx.fbcdn.net/v/t45.1600-4/29841655_6082695571415_5256819217574920192_n.png?_nc_cat=0&oh=95b8523a66291d4e4fa4a81942a04bdb&oe=5B53946D,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
13,13,13,13,https://scontent.xx.fbcdn.net/v/t45.1600-4/27953914_6083995595299_3668395553936375808_n.png?_nc_cat=0&oh=ed83c877e8540efa7f130bdd166ed32f&oe=5B9CB6BC,82.3433406441,205.994229034,60.0708412727,255,0,79.7417409766,97.8660582179,255,0,242.243391521,0.417317418921,0.827126752238,0.966437959462,3.14425104785,0.174153828135
14,14,14,14,https://scontent.xx.fbcdn.net/v/t45.1600-4/28203798_6084636022899_8426066024696119296_n.png?_nc_cat=0&oh=da1ccb040deed18c146221ae5835a334&oe=5B576F81,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
15,15,15,15,https://scontent.xx.fbcdn.net/v/t45.1600-4/29353795_6085026121398_5280970304011632640_n.png?_nc_cat=0&oh=7976a968bafdfba8e578eb02cf9d2fbd&oe=5B566009,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
16,16,16,16,https://scontent.xx.fbcdn.net/v/t45.1600-4/28880134_6086050672973_1131130747512422400_n.jpg?_nc_cat=0&oh=027cef8542246d50fe14c6ea3bcbdd88&oe=5B8CE7E5,24.5605852002,222.742329102,31.3365478948,254,9,104.480867513,34.1794856565,255,0,9.38550788376,0.174313628484,0.838903634277,0.995223959619,0.741305056033,0.0303852410752
17,17,17,17,https://scontent.xx.fbcdn.net/v/t45.1600-4/28203856_6087042493032_3043259108338696192_n.png?_nc_cat=0&oh=0e9db26f80828e4dca09fb28f3b7a3cb&oe=5B92BB7B,95.46458831,89.2976273885,71.4666089885,255,1,127.670987261,106.353601141,255,0,635.821007952,0.333837328979,0.639845253556,0.937759620896,8.44690639227,0.11144736222
18,18,18,18,https://scontent.xx.fbcdn.net/v/t45.1600-4/26757451_6096476255941_4323571524788289536_n.png?_nc_cat=0&oh=cf2858e7de2f7472fe3bdc48a697e2e8&oe=5B56FCD7,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
19,19,19,19,https://scontent.xx.fbcdn.net/v/t45.1600-4/18944214_6098755328996_8554256178413043712_n.png?_nc_cat=0&oh=8ec1f793efbfe5191faa15f08c605265&oe=5B973D97,94.8348164733,63.7246165074,50.8703124903,255,1,200.790605096,74.161166142,255,0,234.730066988,0.0865642762468,0.575899646484,0.954666669949,6.42842230521,0.00749337392214
20,20,20,20,https://scontent.xx.fbcdn.net/v/t45.1600-4/30268548_6102704459656_4704885640519483392_n.png?_nc_cat=0&oh=6b83711ca45d10a60bc07734992b8507&oe=5B8D558C,127.834377272,66.7563680998,56.2331264612,255,0,225.224105626,62.2575116514,255,0,233.857252328,0.219859776697,0.862086304507,0.96304788112,2.5501147453,0.0483383214093
21,21,21,21,https://scontent.xx.fbcdn.net/v/t45.1600-4/18507352_23842575216670072_4301176813687668736_n.png?_nc_cat=0&oh=a59aaffd510f33d147702575fb419431&oe=5B9B387D,97.9748680117,205.024278132,58.2193238595,255,6,107.24986465,103.807230212,255,0,95.5730452128,0.394902815444,0.791166887596,0.985904348382,2.4994302577,0.155948233646
22,22,22,22,https://scontent.xx.fbcdn.net/v/t45.1600-4/20131654_23842586464890571_2930576531044433920_n.png?_nc_cat=0&oh=d9588e69d0074c52d63f610b99fcba97&oe=5B8A0EFE,85.3206807473,185.180398089,53.6760154329,255,5,194.898470011,46.509611799,255,0,97.5865131771,0.0793632972937,0.580747511496,0.98306375093,3.04232826719,0.00629853295732
23,23,23,23,https://scontent.xx.fbcdn.net/v/t45.1600-4/18341357_23842589364320048_1173868236203098112_n.png?_nc_cat=0&oh=2f137bc9bcc94119cb36152b38303af8&oe=5B521D1C,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
24,24,24,24,https://scontent.xx.fbcdn.net/v/t45.1600-4/21567841_23842649800980787_8653697410188443648_n.png?_nc_cat=0&oh=fbb83eb195019629e2603e1ee53979e9&oe=5B8C9928,122.473607304,86.2802511962,56.0802054003,255,0,212.795930356,78.1141792739,255,0,148.938790034,0.157287438622,0.889878219812,0.976317144544,1.9952631978,0.0247393383482
25,25,25,25,https://scontent.xx.fbcdn.net/v/t45.1600-4/27056255_23842717005680059_7169494443702091776_n.png?_nc_cat=0&oh=6181dd8b21d478b39b8ef260a98d481a&oe=5B9BBCE0,80.674323511,162.695038482,53.1214903555,250,0,177.207781316,56.3450198713,255,0,433.493934701,0.0971455919347,0.781906083458,0.923188724939,6.12907120052,0.00943726603235
26,26,26,26,https://scontent.xx.fbcdn.net/v/t45.1600-4/27952692_23842733639690583_7068614810199392256_n.png?_nc_cat=0&oh=3cf0fa02dca01a1822adf7dca60a568a&oe=5B539D3E,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
27,27,27,27,https://scontent.xx.fbcdn.net/v/t45.1600-4/29140423_23842739872920382_2710347156614545408_n.png?_nc_cat=0&oh=72197c90b650e94a7fc1e42b93eccbd3&oe=5B516405,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
28,28,28,28,https://scontent.xx.fbcdn.net/v/t45.1600-4/29619970_23842744704060570_7342071740098412544_n.png?_nc_cat=0&oh=118320bc6045674ba7e0d4f349c36578&oe=5B50428C,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
29,29,29,29,https://scontent.xx.fbcdn.net/v/t45.1600-4/17508321_23842746789300118_128607658897833984_n.png?_nc_cat=0&oh=76574fdcbfb81d9f2788ca65a3993914&oe=5B830FD0,63.0611424893,148.601148971,65.4409917167,255,0,80.2235753086,75.9782145899,255,0,180.10785361,0.0379925703115,0.424008684506,0.978970485794,5.67361688098,0.00144343539887
30,30,30,30,https://scontent.xx.fbcdn.net/v/t45.1600-4/31333205_23842777968180570_2905226912508936192_n.jpg?_nc_cat=0&oh=be2582a7e0d16c683fadbe2cf9e63e2e&oe=5B8AD083,94.8964549915,179.951685466,65.8293840148,255,1,200.604046783,46.9030294391,255,0,194.85426353,0.216561456676,0.790881321785,0.977522167238,3.56508569631,0.0468988645177
31,31,31,31,https://scontent.xx.fbcdn.net/v/t45.1600-4/29964208_23842785332140687_1600030739741540352_n.png?_nc_cat=0&oh=c35472ac5fe23e322853a948188b5c7d&oe=5B85222A,118.873777417,155.526473611,49.0700895175,255,0,148.845965278,95.8082544198,255,0,104.20941479,0.0564416536432,0.661205677298,0.97837126855,1.97252849597,0.00318566026598
32,32,32,32,https://scontent.xx.fbcdn.net/v/t45.1600-4/30138704_23842785501220693_3182190073319784448_n.png?_nc_cat=0&oh=75710edc20bf067ad7749f9fcb8814dd&oe=5B851A00,27.1681140358,58.7185965237,62.0546403712,255,2,38.4956527367,39.9976647058,255,0,384.551160509,0.120676369044,0.56206057101,0.950100246828,5.04014399941,0.0145627860456
33,33,33,33,https://scontent.xx.fbcdn.net/v/t45.1600-4/29962993_23842785703320404_2571335828500381696_n.png?_nc_cat=0&oh=8e9352c3548086af255124c44f06935c&oe=5B83CD34,25.7506595117,133.083175238,65.1175867253,255,0,57.9495504762,46.5491509982,255,0,553.325024072,0.0278158854964,0.342848908936,0.934758088483,12.0404480671,0.000773723485947
34,34,34,34,https://scontent.xx.fbcdn.net/v/t45.1600-4/27954152_23842790945180770_940858422079782912_n.png?_nc_cat=0&oh=b99748c7e023597f0b8a0dc027108356&oe=5B91D38B,56.7580181944,122.287490234,72.2337599955,255,3,129.677503255,57.7048885552,255,0,82.6474504434,0.0237018154566,0.356450597903,0.99208034867,4.08605242567,0.00056177605594
35,35,35,35,https://scontent.xx.fbcdn.net/v/t45.1600-4/27952911_23842795863400770_3999019379013451776_n.png?_nc_cat=0&oh=333881a603f77d03927ae8da5a62dd51&oe=5B8C12AD,36.4779276559,67.2551765454,48.4808098323,248,6,50.6886712637,38.9542858456,255,0,147.806369957,0.0539954652791,0.435829346625,0.968573104918,4.78426850764,0.00291551027071
36,36,36,36,https://scontent.xx.fbcdn.net/v/t45.1600-4/31668749_23842859280760775_7260900483156410368_n.png?_nc_cat=0&oh=7c51a9b9b317224bf07281282e9bac3a&oe=5B902FF0,35.1045192438,63.7806586372,64.4291455834,231,0,48.3313476563,51.8706090047,255,0,24.0205097298,0.315482769927,0.718121761256,0.997107709002,1.64871535922,0.0995293781207
37,37,37,37,https://scontent.xx.fbcdn.net/v/t45.1600-4/s110x80/701905_6006437004376_25941_n.jpg?_nc_cat=0&oh=a893c21c628fe51b95a9ef52e0c21cd2&oe=5B8468D0,126.73216344,123.239285714,74.5559465832,255,1,159.651309524,85.6741707517,255,0,1157.38834135,0.0994730592449,0.292630936862,0.895590639,16.0133413462,0.00989488951553
38,38,38,38,https://scontent.xx.fbcdn.net/v/t45.1600-4/s110x80/708172_6006437070776_1912_n.jpg?_nc_cat=0&oh=be354202728925926b38a894b9bf060f&oe=5B9D9731,64.9738900997,191.974703557,34.0150767608,255,35,165.395520422,41.7732927895,255,29,169.107299561,0.360924653796,0.675101526177,0.927169140807,4.21938571998,0.130266605718
39,39,39,39,https://scontent.xx.fbcdn.net/v/t45.1600-4/11410283_6025851333615_93144481_n.png?_nc_cat=0&oh=ce4b8d0d81ecbbd3db669c8abd12cf32&oe=5B52BF6F,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
40,40,40,40,https://scontent.xx.fbcdn.net/v/t45.1600-4/11410326_6029744350456_1834216552_n.png?_nc_cat=0&oh=8f0dce8d211f05a7280c1e8cd038809c&oe=5B83DF63,69.289336751,122.449112261,75.0298295466,255,0,125.30683121,68.4804170254,255,0,223.547017685,0.110775967772,0.637762889328,0.980145814283,4.12310816338,0.0122713150359
41,41,41,41,https://scontent.xx.fbcdn.net/v/t45.1600-4/10737044_6029744345056_1714263739_n.png?_nc_cat=0&oh=5967c1b744191b30d1dc3fbb1777fa32&oe=5B83B8E4,69.2490810175,98.8258744692,69.7229530587,255,1,126.513830945,76.8731133564,255,0,222.237154901,0.110426956624,0.644868375339,0.977131302142,3.71578093209,0.0121941127492
